Área Total,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta
74.0,3,2,0,8,1,599000.0
74.0,3,2,0,4,0,599000.0
84.0,3,2,2,6,1,517860.0
122.0,3,2,1,3,0,1025500.0
67.0,2,2,1,99,99,473600.0
75.0,3,2,1,99,99,546200.0
162.0,3,3,2,3,0,1155000.0
236.0,3,3,2,3,0,2010000.0
272.0,4,2,2,4,0,2079000.0
95.0,3,2,1,11,1,426000.0
88.0,3,0,0,13,2,309250.0
113.0,2,0,2,4,0,1106000.0
101.0,1,0,2,4,0,965000.0
49.0,1,0,0,11,1,311865.0
73.0,3,2,1,3,0,541575.0
59.0,2,2,1,22,3,303400.0
68.0,3,2,0,18,3,258400.0
81.0,2,2,1,3,0,576500.0
130.0,3,2,2,2,0,1015200.0
190.0,3,3,3,3,0,1767000.0
157.0,3,2,2,4,0,1010100.0
159.0,3,2,3,4,0,1836000.0
60.0,3,2,2,99,99,409200.0
170.0,5,4,0,2,0,831600.0
355.0,4,3,2,4,0,3136500.0
100.0,2,2,1,2,0,682650.0
300.0,4,3,2,4,0,1100000.0
110.0,3,2,1,2,0,822400.0
37.0,3,2,0,2,0,431500.0
76.0,2,2,1,0,0,639000.0
113.0,3,3,4,5,0,762000.0
238.0,3,3,2,3,0,2938320.0
105.0,1,2,2,2,0,670000.0
60.0,2,2,1,9,1,430500.0
59.0,2,2,1,9,1,437964.0
122.0,3,2,3,4,0,1335687.0
57.0,2,2,0,99,99,337000.0
75.0,3,2,1,9,1,425000.0
104.0,3,2,1,8,1,639200.0
83.0,3,2,1,99,99,436000.0
70.0,3,2,0,7,1,432680.0
520.0,3,4,4,2,0,2330000.0
110.0,3,2,0,20,3,353350.0
40.0,1,0,0,11,1,270020.0
64.0,3,2,1,2,0,390000.0
80.0,3,2,0,22,3,342000.0
62.0,1,0,0,3,0,680000.0
116.0,3,3,0,1,0,514000.0
40.0,1,0,0,0,0,319920.0
100.0,3,0,0,20,3,450000.0
240.0,3,2,2,1,0,1432223.0
115.0,2,2,1,2,0,746000.0
112.0,3,2,0,2,0,455100.0
59.0,3,3,1,9,1,805392.0
82.0,3,2,1,2,0,732600.0
101.0,3,0,1,9,1,425500.0
210.0,3,4,0,4,0,1554000.0
190.0,2,2,1,3,0,1237500.0
76.0,3,2,0,9,1,450000.0
96.0,3,2,2,1,0,814850.0
98.0,2,2,0,9,1,1811150.0
108.0,2,3,1,3,0,708750.0
122.0,2,2,1,2,0,900000.0
80.0,3,2,2,3,0,732600.0
110.0,4,2,0,20,3,294670.0
64.0,1,0,0,6,1,496668.0
135.0,3,3,1,24,4,851000.0
125.0,2,2,2,4,0,958800.0
100.0,2,2,1,2,0,552000.0
188.0,3,3,2,3,0,740000.0
200.0,0,5,3,6,1,1220000.0
253.0,3,2,2,4,0,2300000.0
203.0,3,2,1,3,0,8360.0
210.0,3,4,1,99,99,1295000.0
110.0,3,2,0,99,99,428500.0
136.0,4,3,2,2,0,852208.0
88.0,3,3,0,6,1,631407.0
98.0,2,2,1,3,0,684000.0
126.0,3,2,2,3,0,898640.0
149.0,1,2,1,99,99,684000.0
157.0,3,2,1,3,0,940000.0
107.0,3,2,1,99,99,890000.0
184.0,3,3,2,4,0,1830000.0
312.0,3,4,4,4,0,4705000.0
45.0,1,0,0,6,1,259500.0
86.0,3,2,1,6,1,595681.0
65.0,2,2,1,9,1,445200.0
88.0,3,2,2,2,0,781242.0
238.0,3,3,2,4,0,1665000.0
63.0,3,2,0,27,4,398000.0
164.0,3,3,2,4,0,1630000.0
93.0,1,0,1,9,1,582000.0
99.0,3,2,1,5,0,697450.0
85.0,2,0,0,8,1,460020.0
98.0,2,2,1,2,0,506250.0
255.0,3,4,2,4,0,1994000.0
246.0,4,3,2,3,0,1667700.0
53.0,2,2,0,7,1,375000.0
136.0,3,3,3,4,0,1707000.0
70.0,2,0,0,5,0,285000.0
131.0,3,3,2,4,0,1760500.0
39.0,1,0,0,6,1,265000.0
99.0,2,2,1,4,0,689000.0
189.0,4,3,2,2,0,767000.0
236.0,3,3,4,4,0,2813470.0
88.0,3,2,1,2,0,659000.0
77.0,3,2,0,2,0,371250.0
202.0,3,3,2,2,0,1481000.0
55.0,1,0,1,4,0,1950.0
130.0,4,4,1,5,0,520800.0
56.0,2,2,1,3,0,770000.0
60.0,3,0,0,99,99,239400.0
53.0,3,0,0,2,0,278775.0
240.0,3,2,1,4,0,1804800.0
206.0,2,2,2,4,0,1496480.0
50.0,1,0,0,7,1,320000.0
68.0,11,2,0,0,0,450000.0
53.0,2,2,2,7,1,380000.0
84.0,3,2,1,5,0,487500.0
70.0,2,2,1,6,1,500420.0
230.0,3,3,1,3,0,2923000.0
45.0,1,0,0,3,0,405000.0
123.0,0,3,1,5,0,806708.0
77.0,3,2,0,25,4,370925.0
118.0,3,2,2,2,0,604500.0
120.0,3,2,2,3,0,959760.0
110.0,2,2,1,0,0,999000.0
226.0,2,3,2,4,0,1598000.0
80.0,2,0,0,7,1,2000.0
