Área Total log,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta log,Enlaces
3.784189633918261,2,2,0,16,3,12.68423353864882,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-santa-catalina-la-victoria-2-dormitorios-145596197
3.828641396489095,6,4,0,16,3,14.123584054925365,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-victoria-lima-5-a-mas-dormitorios-144036783
3.828641396489095,3,3,0,42,6,12.400820837540556,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jose-galvez-villa-maria-del-triunfo-3-dormitorios-142851984
3.8501476017100584,2,0,1,3,8,13.072544784583393,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-barranco-lima-2-dormitorios-143886932
3.871201010907891,1,0,0,55,8,12.136191879981927,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-huacho-huaura-1-dormitorio-145270141
3.8918202981106265,5,3,0,32,5,13.041697642356205,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-los-jardines-san-juan-de-lurigancho-5-a-mas-dormitorios-145389237
3.8918202981106265,5,3,0,32,5,13.033665488142947,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-san-juan-de-lurigancho-lima-5-a-mas-dormitorios-145526211
3.8918202981106265,4,3,1,32,5,13.07107218827772,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-san-juan-de-lurigancho-lima-4-dormitorios-144423700
3.9318256327243257,6,3,0,35,4,12.765691290604371,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-san-martin-de-porres-lima-5-a-mas-dormitorios-145659714
3.9318256327243257,6,3,0,6,3,13.019668195475587,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-5-a-mas-dormitorios-145485154
3.970291913552122,1,0,0,17,8,12.801058335158986,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lince-lima-1-dormitorio-145343377
4.007333185232471,4,4,2,24,8,13.571272320004585,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-pueblo-libre-lima-4-dormitorios-144950603
4.04305126783455,4,0,0,6,3,12.223426197857627,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-4-dormitorios-145081716
4.060443010546419,3,3,1,25,4,12.712893259942282,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-puente-piedra-lima-3-dormitorios-143115316
4.060443010546419,3,2,0,14,8,12.923914877701906,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-3-dormitorios-143907026
4.07753744390572,7,4,1,32,5,13.075902598110167,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-los-jardines-san-juan-de-lurigancho-5-a-mas-dormitorios-145215017
4.07753744390572,4,2,2,27,6,13.232116033476537,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-punta-negra-lima-4-dormitorios-145603482
4.110873864173311,4,2,0,16,3,13.22672519452875,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-victoria-lima-4-dormitorios-143642042
4.110873864173311,5,2,1,28,3,12.896719202134523,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-rimac-lima-5-a-mas-dormitorios-145723274
4.143134726391533,3,0,0,5,4,12.218500103788143,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-carabayllo-lima-3-dormitorios-145747695
4.1588830833596715,3,2,0,28,3,12.429220196836383,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-ciudad-y-campo-rimac-3-dormitorios-142678548
4.1588830833596715,5,3,0,16,3,13.003582093664077,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-victoria-lima-5-a-mas-dormitorios-4624596
4.1588830833596715,3,2,0,50,8,12.834683971615659,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-supe-barranca-3-dormitorios-145177408
4.189654742026425,4,2,1,39,8,13.393727025668621,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-145597950
4.189654742026425,5,3,0,39,8,13.800881066895666,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-santiago-de-surco-lima-5-a-mas-dormitorios-145661460
4.204692619390966,4,4,1,39,8,14.087445035352388,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-143477333
4.204692619390966,8,8,0,21,8,14.003152105147953,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-miraflores-lima-5-a-mas-dormitorios-142727045
4.219507705176107,4,5,2,15,8,13.919871474189012,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-el-descanso-la-molina-4-dormitorios-145081789
4.23410650459726,2,0,0,18,4,12.307053082633972,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-los-olivos-lima-2-dormitorios-145190042
4.2626798770413155,4,2,0,33,6,12.54254845357358,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-el-universo-san-juan-de-miraflores-4-dormitorios-145383460
4.2626798770413155,3,2,0,16,3,12.907257437772586,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-victoria-lima-3-dormitorios-145416820
4.2626798770413155,3,3,2,15,8,13.767423696419561,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-molina-lima-3-dormitorios-145009880
4.2626798770413155,4,3,2,15,8,13.586098651497313,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-las-laderas-de-la-molina-la-molina-4-dormitorios-145452610
4.276666119016055,3,3,0,5,4,12.547002788050001,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-edwin-vasquez-carabayllo-3-dormitorios-144976033
4.290459441148391,6,3,1,35,4,13.014780393893403,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-condevilla-senor-san-martin-de-porres-5-a-mas-dormitorios-145367653
4.290459441148391,4,2,0,36,8,13.25339339419516,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-san-miguel-san-miguel-4-dormitorios-145257252
4.30406509320417,6,2,0,5,4,12.742568940017076,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-carabayllo-lima-5-a-mas-dormitorios-145377005
4.31748811353631,3,3,0,8,6,12.814481318719762,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-campina-chorrillos-3-dormitorios-144908456
4.31748811353631,6,3,0,6,3,12.727841176689147,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-5-a-mas-dormitorios-145351504
4.31748811353631,3,2,1,20,8,13.057826989597816,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-magdalena-lima-3-dormitorios-145557075
4.330733340286331,7,3,0,35,4,13.47653659463273,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-peru-san-martin-de-porres-5-a-mas-dormitorios-144169287
4.330733340286331,5,4,0,8,6,13.022545252064427,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-enatru-peru-znb-chorrillos-5-a-mas-dormitorios-145554605
4.330733340286331,3,2,1,5,4,12.259144108039314,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-alameda-del-norte-inmovipro-carabayllo-3-dormitorios-145427912
4.343805421853684,3,2,1,36,8,12.91164481522143,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-san-miguel-lima-3-dormitorios-145170446
4.343805421853684,3,2,1,24,8,13.042230832362204,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-pueblo-libre-lima-3-dormitorios-145597021
4.343805421853684,3,3,0,5,4,12.33839393127061,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-villa-club-carabayllo-3-dormitorios-143986820
4.356708826689592,2,2,0,3,8,13.213302198545238,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-barranco-lima-2-dormitorios-145700100
4.3694478524670215,7,2,0,35,4,12.611541086966115,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-condevilla-san-martin-de-porres-5-a-mas-dormitorios-144958496
4.3694478524670215,3,3,1,35,4,13.299003827226315,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-san-amadeo-de-garagay-san-martin-de-porres-3-dormitorios-145403380
4.394449154672439,4,3,1,25,4,13.1791236008659,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-puente-piedra-lima-4-dormitorios-143365869
4.394449154672439,8,4,0,28,3,13.259514959229206,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-leoncio-prado-rimac-5-a-mas-dormitorios-145734987
4.394449154672439,4,3,1,20,8,14.000496063294388,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-magdalena-lima-4-dormitorios-4282264
